NK_Codetable,NK_Indication,NK_TimeMeasure
095EEB98-31D5-472E-91DB-CB2EF4306EED,1EA85627-FB5E-4433-A1E0-ECFA73BD2D28,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1EB026B2-F3F8-46B0-AA89-CFA2CDA03420,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1EB3DF88-604D-4C10-A7F1-FD3D6D7411B7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1EE7F064-3DA6-413F-A0BC-C2D80EBF1AB5,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1F605084-7539-49B5-8228-4368233F84F3,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1F68F23F-735D-4F5E-9D68-B37C51B14BC4,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1FFC7304-700D-4332-AE65-23523A76B347,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,202399C5-6D10-4931-9E0D-2F1BADBBA4B0,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,20645A39-8AB7-487C-BFBA-04715F2353EF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,207F0B1F-82E1-4ECE-9027-45BCA025B27A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,2092BBE2-C08B-4405-879A-ABA4C7559C91,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,20B53F10-F43D-478A-BE88-C289E6360364,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,21080DCA-204D-43E7-810C-D4CE6BD5868D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,213493B7-66EE-485C-A7EB-78629C8C1D94,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,21B6BB2D-5ADE-4E3E-A89F-B937376EF42D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,223897E1-B592-43B8-85EA-4ABCD00D2B4E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,22413D93-6A78-4CFA-A38A-4B3ACF9347B1,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,22875967-AFBF-43DB-96D9-91706D613195,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,22975043-B900-4DAE-AB8D-46B2E9503CF6,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,2306ED51-D3E7-4530-9355-6DA4DCBF2EC9,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,2382D1E3-07FC-4A14-B20B-7FC410BB5BE6,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,239C161A-4C53-40B4-A280-78B24A484C1A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,23AA65AF-96E1-4B4D-AE2F-014C6C59888A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,23C1B781-4D33-4DD7-85B1-5C7CF2C5DAD6,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
