dosageFrom,dosageTo,expenditureFrom,expenditureTo,NK_ApplicationArea,NK_Indication,NK_Measure,NK_TimeMeasure,serialNumber,waitingPeriod
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,AB92CB42-9677-4C42-A31D-6B874FD6D7F7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,60,0
NULL,NULL,0.300000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,AC24367A-9D95-4DB5-BDE5-FB67AC23696A,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,68,0
NULL,NULL,0.250000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,BCBCDF84-0394-4144-BDBF-7074D7B765C5,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,61,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,C2F98501-6FCA-4947-9C7F-93B2EB8A80C7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,52,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,CCAC5912-FE01-42B8-8AAE-2D7C1B17BE73,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,64,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,CED3639A-DE55-407B-B55F-C1257353CFE6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,57,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,D9928B80-BCE8-4376-8113-2AC44B06A061,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,58,NULL
NULL,NULL,0.150000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,DBFBFE56-ECF2-4B31-A5D0-D909595AE471,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,55,0
NULL,NULL,0.200000,0.330000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,DE6C2F6C-CC21-4689-B6AE-0E91056B4E22,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,29,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,E5362CFA-5048-45BC-AC34-881A2FADFDC7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,70,NULL
NULL,NULL,0.150000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,EDEC901F-5047-47D4-9618-CB9764E5F223,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,54,90
NULL,NULL,0.200000,0.250000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,F0DB7438-4881-43AD-89B1-4C26AB7864BD,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,30,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,F277B8C3-EA79-44C2-A010-AA39AEB59754,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,65,0
NULL,NULL,0.200000,0.250000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,F6BF11F8-503C-468B-BF30-53F766AC49B6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,33,0
NULL,NULL,0.250000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,FBA6AE77-DB26-4EA0-9562-C6EFF1DAECA9,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,69,0
NULL,NULL,150.000000,300.000000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,1D78EBDF-ED8F-4963-BD8C-65AEAFD5AF9F,F2F922DE-5B94-4FCA-A261-E22A7DD16FCD,NULL,4,0
NULL,NULL,0.500000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,0B39D878-F4E9-4C6E-9F35-7AD084059A2A,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,12,1
NULL,NULL,0.500000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,117AD901-A843-4485-B2F8-C15EE815A4D2,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,10,NULL
NULL,NULL,0.300000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,3C91F424-033F-4C1A-8E91-E419DD81A574,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,24,2
NULL,NULL,0.300000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,6829B0AB-4420-4F04-AC20-FAC45B431CC1,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,27,2
NULL,NULL,0.300000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,729F6973-7A1F-4FD9-9A8C-CC325D4991D0,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,23,NULL
NULL,NULL,0.300000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,7F37BF97-4985-490D-9CEA-4244F2E416EB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,21,0
NULL,NULL,0.500000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,826BA44E-2C67-49B6-8F24-0881E99324DC,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,5884D715-A236-4FAB-B563-6755592E3583,16,NULL
0.050000,NULL,NULL,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,86E41033-DCEC-4DE4-9A0A-02F40C4AB356,NULL,NULL,6,0
