NK_Codetable,NK_Indication,NK_Measure
37D088FC-2B9D-400A-BCEE-886A40321516,4DBC9B0A-6C98-4B13-932F-43BF5C644633,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4DCFC41F-2D61-4827-A246-06670FEC70A3,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A5A1EF66-4B62-4459-BF8C-EBED98D70B45,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A5A5A998-7005-4496-A7DC-01AC48CBC69C,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A5AE24D1-3035-430C-83C9-133D871D8CB9,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5B3EC9C-4B5B-4AEC-97D5-2F8369253F9E,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5B920B8-A023-4707-9C88-B774D90F60B3,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5BA80E7-2BC2-4BA2-9A1D-F480ADC88E06,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A5C4C36F-75DC-4AC6-AB34-DCEEB05D8F4E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5CB38BB-8D02-4506-906E-2EB695A0080A,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5DD8D91-962F-459B-A1D2-2A2A83B3F662,BF45D8F6-A560-441D-8BB4-E266EB9790AD
45A6E7BE-BA26-4BD0-AC3C-A8B726E7FA51,A5E142B7-2EC5-4090-83BD-7AB52595BE0F,D5D99884-90E1-4358-A404-844A64EA9965
B6121EAC-9C11-4572-8141-73D28B6B0C30,A5E2915D-B675-4157-93AE-E1973F8E266E,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A5EA6FFD-6F77-4DFC-92D1-0A26AAAAD68D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A60182D3-498D-4F73-91DD-E4EF9D34F0F2,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
9BD6F01F-B83C-4344-9184-A7CAE765A82A,A60ACF66-6245-4EB3-BF71-B13981F07DC1,B96A948F-9AF5-46F4-BC90-CF45EC3EA135
37D088FC-2B9D-400A-BCEE-886A40321516,A626DFDC-FA43-4DD7-A154-04BB5609C020,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A628EAE0-0814-4FA8-B696-2C7DFBB565B2,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A63F5987-BE6E-4E03-A04A-A307274C351D,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A64876FB-46CC-4DCD-AADF-C9D5B5937A05,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,A65C613A-6941-4666-AC30-5BD12878C63F,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A65F76C1-B2FD-458C-A67F-451EE40AC2BF,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6615582-C34B-44D1-9B2A-5C3A0C427A95,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A6683081-5ABC-479B-A875-1C24A73F6E75,BF45D8F6-A560-441D-8BB4-E266EB9790AD
37D088FC-2B9D-400A-BCEE-886A40321516,A670014C-4578-4DEB-B421-E3933489E863,861A4326-0249-43E1-9DF3-1009CF3E3081
37D088FC-2B9D-400A-BCEE-886A40321516,A673E7CE-E1C4-4C65-B867-704815C1826E,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6754D10-54F9-4D0B-BABF-96F2D9D196C7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A68A7B65-2449-40E5-813C-9DF7EC855F5F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A697164D-33E5-4DC9-9EF4-5DFD17E52B69,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A69D7549-759B-411F-A381-6DA99BDF9561,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6C16D89-0AB4-4EAB-A263-75FDCC6AE02F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6C49AE7-6592-44F0-982F-2FA8FD4B3525,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6CBC515-9178-4830-A8F6-E4473BD7B2EA,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
37D088FC-2B9D-400A-BCEE-886A40321516,A6CE8DC3-BB1F-4D54-A35E-E52E2B3AF5C6,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6D6245A-132C-4781-93A8-989F1FA4E0CB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6D85469-DF99-4457-A3C4-557625FC8142,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6D9C055-08F4-4D38-B509-EA47BED888CB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6E540E9-E0B6-44DF-9156-5FE9862B6729,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A6F4EE52-79B6-4D82-81AA-848B7B406351,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7196BA5-DD35-4A80-AA01-1F7920FC1240,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A728F4EA-0E38-4BBE-BB0C-203100B8599F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
45A6E7BE-BA26-4BD0-AC3C-A8B726E7FA51,A7340137-8D59-43E4-83FE-555F5A561DD4,D5D99884-90E1-4358-A404-844A64EA9965
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A74088F5-3EA8-469C-B583-4FBCE2BF2135,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
A61C9ED7-FCB9-4E8C-A9DA-FBD81C2EE1D1,A744E22E-E188-4C7E-B3EB-7A029C5822C2,FA59BC2C-DF7D-4860-B167-C0D1EDF200FE
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A75CD316-9644-4937-A54E-D66D426D5502,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
EE216082-9121-4C8B-A103-D7C718A805AB,A765F9D2-901B-40BF-A20F-80C8D2ED6E1F,F2F922DE-5B94-4FCA-A261-E22A7DD16FCD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A76EAA00-836C-46F0-8F9E-E7132795A82B,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A77152A4-F689-4ABE-9A75-8B21E4DE7042,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A7773041-6E52-444A-8034-FA4D2CEE0F7D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A77C1D5F-DD40-4A84-BD79-E6C326AA7059,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A77F07D0-825D-4D98-825E-AE24279F986B,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A78800D4-F430-4C8C-A985-E1E18354A5F9,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A797620D-8F3E-438F-81DB-20E3D5C4EDA3,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,A7981F72-CFF9-4479-8F38-455E9EBE726D,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,A79DF4CF-3733-419F-80B2-332941B31BE8,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
