"bk_Code","ID","PARENT_ID","VERSION","VALUE","LANGUAGE","CODE_VALUE","IUPAC_NAME","TEXT_KEY","BBCH_STAGE_FROM","BBCH_STAGE_TO","MIN_INTERNAL_BETWEEN_USES","MAX_APPLICATIONS","UNIT_MAX_APPLICATIONS","InfofitoRef"
"A4B4F56B-9F6B-407A-9AFB-88379ED3F987-de","A4B4F56B-9F6B-407A-9AFB-88379ED3F987","","0","Behandlung im Sommer nach einem ersten Schnitt auf Wiederaufwuchs (ca. 1 m hoch) vorzugsweise mit Handspritze.","de","13053","","Obligation","","","","","",""
"A4B4F56B-9F6B-407A-9AFB-88379ED3F987-fr","A4B4F56B-9F6B-407A-9AFB-88379ED3F987","","0","Traitement en été, après une première coupe, sur les repousses (env. 1 m de hauteur) de préférence avec un pulvérisateur à main. ","fr","13053","","Obligation","","","","","",""
"A4B4F56B-9F6B-407A-9AFB-88379ED3F987-it","A4B4F56B-9F6B-407A-9AFB-88379ED3F987","","0","Trattamento in estate, dopo un primo taglio, sui ricacci (1 m circa d'altezza) preferibilmente con un vaporizzatore.","it","13053","","Obligation","","","","","",""
"A4B62DE1-4375-4741-BECD-74127F98F6CB-en","A4B62DE1-4375-4741-BECD-74127F98F6CB","","1","","en","15939","","Obligation","","","","","",""
"A4B62DE1-4375-4741-BECD-74127F98F6CB-it","A4B62DE1-4375-4741-BECD-74127F98F6CB","","1","Agitare bene il prodotto per 5 minuti prima dell'uso e utilizzare immediatamente.","it","15939","","Obligation","","","","","",""
"A4B62DE1-4375-4741-BECD-74127F98F6CB-fr","A4B62DE1-4375-4741-BECD-74127F98F6CB","","1","Bien agiter le produit pendant 5 minutes avant utilisation et utiliser immédiatement.","fr","15939","","Obligation","","","","","",""
"A4B62DE1-4375-4741-BECD-74127F98F6CB-de","A4B62DE1-4375-4741-BECD-74127F98F6CB","","1","Das Produkt vor dem Gebrauch 5 Minuten gut schütteln und sofort verwenden.","de","15939","","Obligation","","","","","",""
"A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C-en","A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C","","0","","en","","","ApplicationComment","","","","","",""
"A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C-fr","A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C","","0","pré- ou post-floral, au début de l'attaque.","fr","","","ApplicationComment","","","","","",""
"A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C-it","A4BE6F01-DEFE-4C4B-8CBC-6E3DCF77FA6C","","0","Prefioritura o postfioritura, all'inizio dell'attacco.","it","","","ApplicationComment","","","","","",""
