NK_Codetable,NK_Indication,NK_Obligation,ObligationID
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,62352783-7EBC-4914-9A90-E5EC76846EF9,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,6F67F1F7-6F9D-4DC3-8D22-A22DF9A41747,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,6FDE5130-60CE-4AD9-A1C1-764DFEF0CCFF,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,71C17F9F-3EB0-473F-B46C-ECDBEB102A7E,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,740BBC47-FBF8-4FF3-BB98-EB577BDAF602,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,7664441E-207F-4F3B-B94B-DFA0D0F031F4,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,7E99AEEB-7E0B-4134-8FC1-EC0887F6DCBD,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,83A0DB6A-F644-4285-BA0F-F2A981712BE2,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,84768723-BB3F-429B-B752-434FDBD3FD68,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,872B45E9-BA6A-4BD5-8F5A-3350684128AD,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,89527C8A-0FFE-49CE-A055-46B5C623E324,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,89FA23C2-D93C-4F9F-B930-02CF169FE71D,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
