NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D7F2BC82-D8DB-4BAD-A922-CB2783972301
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D8FB2063-D478-402E-B44C-97B8F824D910
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC D9E2EAB4-0489-4FAF-BA2D-6226F191CAAA
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC DEAB7FBA-61DB-4D67-8C6E-65F48261C621
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC DF43895B-FB1A-4F0D-A649-9AB4F67F81DC
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC E22C136F-5498-424B-8806-A9EEEF4B0E4C
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC E2B76167-30AB-45AD-8834-405BE1AAEF86
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC ECBC8111-2F32-408E-9F4E-1EBD08A149D1
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC F6DF4957-67F9-48AD-9B34-C7613361C996
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC F9E10729-3E96-4090-A691-C510B21E5318
