"NK_ApplicationComment","NK_Codetable","NK_Indication"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","B1542DB7-0D9C-4B6B-8D2D-8F370FDD30E1"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","F3371849-A50E-401E-8D3F-2AE1AA72A6B2"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","F65794CE-547F-4A25-BB85-18E60D1D6DD4"
"62801503-522F-4E77-B5ED-07B7A01B5ADA","05CC4F2F-CD55-43FC-B26F-CBD498D6F968","FA94348B-8942-47DE-AEBF-2B8920204270"
"EB409324-A6A7-46C5-97E4-5075127F8F14","05EBBEC7-7576-40F1-8790-217600FC304B","566A043D-D03D-4D1D-B2AF-347B74E0DDFB"
"8BC6E99F-8C30-432A-BC32-5F3DD1E685AE","060A7A78-F23B-4378-8A91-3CE45C135902","40BE8BD8-84A4-448F-8D86-F11A1CCA47C5"
"8BC6E99F-8C30-432A-BC32-5F3DD1E685AE","060A7A78-F23B-4378-8A91-3CE45C135902","597E3F21-D1D4-4759-97A0-C5A5F8E66C60"
"C9A00F98-605A-4B84-B4E1-9DDFBC04EDC1","062A0C07-B0E5-454D-9302-EF1AE9A43A4F","24CC08AC-9710-4E20-83E0-97CCC67F6F09"
"C9A00F98-605A-4B84-B4E1-9DDFBC04EDC1","062A0C07-B0E5-454D-9302-EF1AE9A43A4F","7A032C68-CEDC-411A-835B-EE92A61AAC6B"
"1AE13265-9A34-4325-9D7D-105F241A291F","0643128A-5151-46DF-84BF-E9479E2123CC","96C43D5F-C56B-4329-AEED-C28660717313"
"1AE13265-9A34-4325-9D7D-105F241A291F","0643128A-5151-46DF-84BF-E9479E2123CC","9e6a64f3-00cd-4b4e-ade0-ee166749a89c"
"C76CE22C-F475-45A2-A6E3-FB2CB62C698A","068FAC83-F148-49B4-A4F6-98ABE8408C15","011E4269-AD0A-475C-936C-D150964A1A4B"
"C76CE22C-F475-45A2-A6E3-FB2CB62C698A","068FAC83-F148-49B4-A4F6-98ABE8408C15","4F1D6AA7-3A3E-4FF0-9676-097D39275AA9"
"C76CE22C-F475-45A2-A6E3-FB2CB62C698A","068FAC83-F148-49B4-A4F6-98ABE8408C15","907CADE1-C512-40F0-B0FC-B2F4B38F6D43"
"C76CE22C-F475-45A2-A6E3-FB2CB62C698A","068FAC83-F148-49B4-A4F6-98ABE8408C15","CEC3F730-DF39-40C1-8A7D-0668C2380D48"
"B9DD10A9-0216-4F3C-A74D-8F65998D2BDE","06A4AA38-D625-46BF-BFCC-397F146E3B2F","176F5F3D-332C-4B93-87B9-9C5CCCA3C717"
"B9DD10A9-0216-4F3C-A74D-8F65998D2BDE","06A4AA38-D625-46BF-BFCC-397F146E3B2F","33CC34F3-7504-4C44-A71B-147994DFA0AA"
"ED91B0C9-7AEA-42A8-8027-D6E87C1DE4B5","06D8F638-FD44-4387-BB95-A457A149BF15","769ABD93-00D4-4161-8B4E-9DE35B92D385"
"ED91B0C9-7AEA-42A8-8027-D6E87C1DE4B5","06D8F638-FD44-4387-BB95-A457A149BF15","d5612fa1-824e-48c0-a087-f7752b5e2270"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","06EF6B34-5057-4671-8A7F-1A4859F19589"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","0933DED0-2AC8-42F0-B896-DDC54FB276D5"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","18106B60-194A-4361-8954-2362B25975AE"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","254A7A83-8FFC-4484-B884-4A31817E5798"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","2AFC6BC9-C5D2-4158-A1C2-4B3D11800F9D"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","5A2AD226-BA7C-4401-A0B0-581CC2E8C1AF"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","75847C8B-4E86-4AF8-86CC-D46873408B47"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","76DC40A7-DB01-487B-8F51-2D4BA5B82378"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","7B5CA310-C010-4C44-83EB-67761E72BA3D"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","839A530D-4109-4914-9A8A-6173E5BF645C"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","8487eebc-02eb-4ad1-b7cf-4db01477a12e"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","92A837A6-EC96-40F3-8FC8-C3609C0305E2"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","959D5330-E1EB-4A41-809F-EECCA8E95DB7"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","9B158841-22C4-4435-9DBD-FE209CDB1723"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","9D00D042-27D6-4294-9669-B9808A04CDED"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","AD7D61A1-CE09-4011-9E1E-F55E01CE5563"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","B2DB03E0-CC0A-41F6-AAAE-FD7E40AB1882"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","C5BDF5E4-C512-4793-BFFB-BD3464350CFE"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","CC73BA38-C0CF-47AF-A9F4-ED96085EB8FE"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","DCBF9A73-847B-44C6-8FCF-9449559073B8"
"D76BF603-6600-4BD0-AE86-87105643F453","06EE2288-3FAE-47E4-9478-7E49EF420CC0","F94B0161-C1E7-4A3F-851E-0A330A4F79BB"
"0360EA4E-E9E6-4E72-A4F9-F6E44FAA373D","076A99A9-954E-4EC0-A1E3-E602DEF1D31F","11B9D342-449A-4C39-AEEC-022D49C96BAA"
"0360EA4E-E9E6-4E72-A4F9-F6E44FAA373D","076A99A9-954E-4EC0-A1E3-E602DEF1D31F","2E64A5AE-1F8A-46AB-8EC7-6EC477D622C2"
"0360EA4E-E9E6-4E72-A4F9-F6E44FAA373D","076A99A9-954E-4EC0-A1E3-E602DEF1D31F","322CCF12-CE96-41A0-A728-214168AB7886"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","01CDED89-D1E6-4A2D-AC45-85F237389459"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","036E886F-5674-46E1-8C2C-D17A9F5037B9"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0522445d-9e83-4475-be0e-61eed31032c9"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0699B088-0E3F-4CF5-AC55-AA4B188A645F"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","07BA15EB-361D-4C9A-AEEF-15F7866139C0"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","097256FB-BA9B-4F5E-9647-FACDB820631A"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0AE7E228-0D77-4A9B-8DBF-25C54094341A"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0D98187D-40E4-42D8-A2F8-0C4C52751238"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0F44ADAD-8904-45F9-ACF6-65BEE5676F5F"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","0F639092-8B97-459F-B29B-439DF5BF5904"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","11195e69-5c87-418e-986c-4cb598fc57c0"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","12BD78D0-DC40-47AA-996B-071F3762028D"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","14BACF13-5016-42CC-B4FD-8201E67BF637"
"A3B93242-1A92-4BFD-AD85-944C79C1AF32","079F653B-FA74-4298-A27E-272D6343284D","16236fbe-f692-492d-892b-43477cc227af"
