NK_Codetable,NK_Product,NK_SignalWord,SHORT_NAME
NULL,08E8DFF2-48D7-480B-91FB-E331F17CD97C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0913DF1B-5E55-4897-B565-3265A920CA1C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,092BB820-C1E0-4D17-AD91-AB76235F0FB7,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,095B6DD7-E5EB-47DC-AB78-AB5CB36AB82E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,095E344A-FDC8-4366-8DF8-930441BCF39F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,09B98BFC-87E5-4822-A0A0-C09EBAA7D511,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0A2040A7-3D59-47A2-95C2-F1A6EDD3CFA1,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0A2040A7-3D59-47A2-95C2-F1A6EDD3CFA1,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
NULL,0A475732-1F31-43C9-8E04-4DE152F5841F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0A7AFBDA-D936-4769-BC2D-3E5E5BE86008,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0A8E4A58-2761-442E-BC6B-C84AF4DBC6D6,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0AD9FB1C-EBBF-42EC-8F64-1AC44642A13B,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0AE16714-223B-4341-94E9-3E4C60964B8A,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0AEF6CFA-AE0A-4939-9E58-AE1A985BA27B,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0B073948-3AD7-4EBC-90D7-09D23178AD6E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0B107F3A-C90F-4A6C-85CB-7748E735869C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0B377EC2-5870-4F84-9BD7-C6F553BFEC19,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0B377EC2-5870-4F84-9BD7-C6F553BFEC19,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0B85828D-F36D-43DB-AC74-9EA7E5DFA95C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0B8A9253-4ACB-4996-B1ED-56A79D893B04,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0B94A940-D6EC-4D41-83AB-30A92C61A9D3,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0BA0378B-A360-44AC-9523-E76BE5415F8C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0BE9D4C8-817D-45FB-9256-819C3920371F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0C028C1C-FC28-42AA-B06D-E636ED2AABFC,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0C97247A-5365-4B6B-BCD9-E0183F2924D7,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0CCA38BC-B0DC-4ECB-9995-682C1C4AEECC,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0CEF1E11-4F49-4860-B006-AFED5AD5D414,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0D2B194C-72EB-4181-B7EA-E1D2B7523F11,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0D4856E6-4BF5-4714-AB6B-AFDC1EC4680E,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0D4BBFE4-3403-4F9E-8ECD-1448E5937B2E,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
